tenure,monthly_charges,total_charges,contract_type,payment_method,random_noise_1,random_noise_2,churn
51,106.69937600115234, ,One year,Bank transfer,-0.18765849429620104,2.0052709784008527,1
14,60.79844953648447,163.95,nan,Electronic check,1.1623085196681997,89.04695739838898,1
71,75.17225952593398,6795.67,Month-to-month,Bank transfer,-0.11532059978763796,56.92813829505244,0
60,45.388856404330426,1884.95,Month-to-month,Mailed check,0.8098878169738728,81.19091149599046,0
20,39.611309969345285,1133.32,One year,Electronic check,1.409191028599123,80.79380300142834,0
23,70.55078791060338,1333.46,Month-to-month,Electronic check,0.2320062831488026,18.985266027096912,0
2,79.50489797004207,3426.79,One year,Mailed check,0.5089905208555405,11.01721202536331,1
21,53.9271245896191,2763.61,Month-to-month,Mailed check,0.09187093358020086,72.12872689738266,0
52,76.94435177635003,2655.41,Month-to-month,Mailed check,0.29780588197031677,15.642691882161907,1
1,108.7460482513503,254.72,One year,Bank transfer,2.1026024348962706,84.99374914047237,0
29,75.6721584783366,4804.07,One year,Electronic check,-0.0639484926806476,72.61894838621052,1
37,92.08130963105066,1514.79,Two year,Bank transfer,-0.35315403794558076,84.18253643652626,0
1,100.53149673579051, ,Two year,Mailed check,1.0417542290197623,29.901267960934607,1
63,118.87287819554427,0.0,One year,Bank transfer,-0.842922332241793,31.659806041056903,1
59,80.31974021769796,369.99,One year,Mailed check,-0.6147214572652406,67.12215563463177,1
20,100.6850148962586,147.76,Month-to-month,Bank transfer,-0.6083452939526224,3.144595505894754,0
32,116.26493185548746,1668.03,One year,Bank transfer,-0.2558745224580402,72.64967463374226,0
57,114.44097255772735,267.0,Month-to-month,Mailed check,-0.21219946487005836,83.57830708546012,0
21,34.10818487777136,5607.61,Two year,Bank transfer,0.6990995896655071,41.516358660410404,0
48,60.6392308273522,1017.55,Month-to-month,Electronic check,-0.342361635258677,76.48788300884686,0
58,52.39900611067996,1394.62,One year,Bank transfer,0.7394634692351869,17.461091698226195,0
41,28.692501495034932, ,Month-to-month,Bank transfer,0.8641807048417827,32.22603938194847,0
59,83.32407749109606,635.87,One year,Electronic check,-0.6535111993330405,97.43049631104775,0
14,93.59046131960024,4001.67,Two year,Mailed check,0.842706018698451,98.63281735601262,0
61,104.81280954668836, ,Month-to-month,Electronic check,0.9334184829582883,51.2605053021588,0
61,32.27768896627085,1153.31,Two year,Bank transfer,-1.7609364366308586,93.4269791463877,0
46,107.64440758752939,443.41,Month-to-month,Mailed check,0.29348095287396686,52.27306780568546,0
61,84.29255636142533,4021.75,One year,Bank transfer,-0.5064081083009134,29.15881281611573,0
50,90.39461351385094,6625.17,Two year,Bank transfer,1.3030649803324426,26.689928809877184,0
54,111.06240035403039,4350.82,Month-to-month,Electronic check,-0.5166061852735627,92.95057053681488,1
