tenure,monthly_charges,total_charges,contract_type,payment_method,churn
51,106.69937600115234, ,One year,Bank transfer,1
14,60.79844953648447,163.95,nan,Electronic check,0
71,75.17225952593398,6795.67,Month-to-month,Bank transfer,1
60,45.388856404330426,1884.95,Month-to-month,Mailed check,0
20,39.611309969345285,1133.32,One year,Electronic check,0
23,70.55078791060338,1333.46,Month-to-month,Electronic check,1
2,79.50489797004207,3426.79,One year,Mailed check,0
21,53.9271245896191,2763.61,Month-to-month,Mailed check,1
52,76.94435177635003,2655.41,Month-to-month,Mailed check,0
1,108.7460482513503,254.72,One year,Bank transfer,0
29,75.6721584783366,4804.07,One year,Electronic check,0
37,92.08130963105066,1514.79,Two year,Bank transfer,0
1,100.53149673579051, ,Two year,Mailed check,0
63,118.87287819554427,0.0,One year,Bank transfer,0
59,80.31974021769796,369.99,One year,Mailed check,0
20,100.6850148962586,147.76,Month-to-month,Bank transfer,0
32,116.26493185548746,1668.03,One year,Bank transfer,0
57,114.44097255772735,267.0,Month-to-month,Mailed check,0
21,34.10818487777136,5607.61,Two year,Bank transfer,0
48,60.6392308273522,1017.55,Month-to-month,Electronic check,1
58,52.39900611067996,1394.62,One year,Bank transfer,1
41,28.692501495034932, ,Month-to-month,Bank transfer,0
59,83.32407749109606,635.87,One year,Electronic check,1
14,93.59046131960024,4001.67,Two year,Mailed check,0
61,104.81280954668836, ,Month-to-month,Electronic check,1
61,32.27768896627085,1153.31,Two year,Bank transfer,0
46,107.64440758752939,443.41,Month-to-month,Mailed check,0
61,84.29255636142533,4021.75,One year,Bank transfer,0
50,90.39461351385094,6625.17,Two year,Bank transfer,0
54,111.06240035403039,4350.82,Month-to-month,Electronic check,0
63,82.47612710432512, ,nan,Electronic check,0
2,53.58658571498351,1249.11,Month-to-month,Mailed check,1
50,102.51073314226598, ,Month-to-month,Mailed check,0
6,56.30592121950905,1977.6,nan,Mailed check,0
20,23.422811082052913, ,Month-to-month,Bank transfer,0
38,103.06545065652497,1141.31,nan,Electronic check,0
17,54.51921448812756,7341.33,nan,Electronic check,0
3,97.38345232013403,3747.33,Month-to-month,Electronic check,0
59,56.275789466594546,6256.75,One year,Mailed check,0
13,106.10680199747216,262.3,Month-to-month,Electronic check,0
8,41.95105250809587,101.1,Month-to-month,Electronic check,0
52,117.45472651988699, ,Month-to-month,Electronic check,1
1,97.97587747880308,654.51,Month-to-month,Mailed check,1
59,31.423792592039682,1361.27,Month-to-month,Electronic check,0
70,76.57766199665605, ,Month-to-month,Mailed check,0
43,118.53673122417347, ,nan,Electronic check,0
7,67.10654526938144,4433.65,Two year,Electronic check,0
46,38.21071388215832, ,One year,Electronic check,0
34,68.47783671503461,2244.69,One year,Mailed check,0
35,71.24576558819216,5188.59,Two year,Mailed check,1
49,94.16869442286655,216.76,Month-to-month,Electronic check,0
3,89.88458531609044,2472.79,One year,Bank transfer,0
1,60.255004359698056,3690.2,nan,Mailed check,0
5,41.80231074940865,4925.3,Month-to-month,Mailed check,0
53,84.50541677693295,714.58,One year,Electronic check,0
3,62.17039345532818,662.33,Two year,Bank transfer,0
53,33.22762111253304,1491.21,nan,Electronic check,0
62,110.05723012363856,64.26,One year,Mailed check,0
17,89.12218576096544,1338.21,Month-to-month,Mailed check,0
43,88.31838564454814,186.42,Month-to-month,Electronic check,0
33,102.25838759116739,3163.73,Month-to-month,Electronic check,0
61,72.96616786550811,4850.88,One year,Bank transfer,0
13,101.5054428402457,178.56,Month-to-month,Bank transfer,0
47,69.80907535110057, ,Two year,Mailed check,1
14,26.71753999157101,3851.27,Month-to-month,Bank transfer,0
71,60.524808802768874,1719.1,Month-to-month,Bank transfer,1
61,69.74648939798905, ,Month-to-month,Mailed check,1
39,92.02025816322958, ,One year,Mailed check,0
52,30.657873012867434, ,Month-to-month,Mailed check,0
23,34.0018538660449,2549.03,Month-to-month,Mailed check,1
25,46.368380263461646,1184.82,Month-to-month,Electronic check,0
59,46.649839337088224,4710.47,Month-to-month,Mailed check,0
