SqFt,Bedrooms,Age,Price
3974.0,4,31.0,695669.6768692338
4307.0,5,35.0,748141.9717972194
1660.0,3,33.0,322769.2195253923
2094.0,1,35.0,368451.95071215916
1930.0,1,1.0,338169.1486944072
1895.0,5,14.0,440247.5712225809
3892.0,5,33.0,720542.3013467973
2438.0,2,35.0,411338.62946017843
2969.0,3,5.0,506912.9020198281
1266.0,3,38.0,242143.56025811133
2038.0,4,,448439.8909312222
1130.0,2,2.0,256642.63875402237
2282.0,2,17.0,391913.9553541018
2935.0,2,39.0,473354.5015754356
4244.0,2,20.0,719412.400530091
3971.0,3,14.0,699784.6713640275
3719.0,3,32.0,624671.3580166061
930.0,2,,181363.51176370625
2485.0,4,25.0,464914.83701912354
4180.0,1,7.0,670151.7963100299
1569.0,1,35.0,295657.5137893888
3191.0,4,29.0,567403.5906157732
2315.0,2,22.0,435193.17041650997
,3,13.0,767576.3210384491
3653.0,1,13.0,622316.2179629592
3233.0,5,1.0,625117.5937456391
2015.0,5,36.0,417124.6018067322
1755.0,4,4.0,387966.08787218167
3124.0,2,37.0,496125.9627853974
1984.0,1,13.0,358487.18563443207
1259.0,2,38.0,209669.20417680393
4185.0,1,24.0,692703.5877692313
,4,19.0,221057.65405403214
3100.0,4,1.0,597823.1931174567
1547.0,5,38.0,342115.7574309228
3704.0,2,5.0,634421.9005259185
4432.0,5,16.0,807333.8760295055
1274.0,2,24.0,242801.9268675495
1882.0,5,27.0,417325.9459491449
3358.0,3,1.0,585580.406395065
2847.0,3,34.0,498777.59159092826
4347.0,3,36.0,757628.5799811657
3547.0,3,4.0,617243.3735078885
1775.0,1,0.0,322695.10058950295
2606.0,3,39.0,464378.1569931783
989.0,4,11.0,268741.63563879195
3805.0,4,35.0,665762.6019854712
3534.0,1,22.0,583483.7426029532
3805.0,3,30.0,657444.4293712354
1362.0,3,10.0,324493.9968391245
,3,9.0,512246.3731385702
4438.0,5,2.0,808474.8469076292
2067.0,2,13.0,397901.4740240546
3679.0,5,15.0,721847.6386979043
2328.0,2,,425747.3250723485
4002.0,3,28.0,657209.4139065872
4356.0,3,9.0,774741.6133857395
1446.0,5,11.0,351292.376720928
2868.0,5,29.0,501946.6090797193
3688.0,2,0.0,660148.4335430084
3014.0,4,4.0,566593.4362809216
2097.0,2,19.0,379939.3343539168
3235.0,5,7.0,633489.6066113802
1400.0,5,11.0,350609.9935955813
3163.0,1,0.0,558639.0363427808
2861.0,5,19.0,547640.2725886031
1041.0,1,27.0,204012.11596352165
2841.0,4,36.0,507759.0664483217
3624.0,2,36.0,605176.20961775
4217.0,2,11.0,721657.3496802611
3412.0,1,36.0,519891.2259591081
3745.0,2,27.0,641069.6423235007
2163.0,5,14.0,446930.73109771905
2939.0,3,5.0,561011.1559656229
2190.0,1,19.0,383045.7462680268
3803.0,2,13.0,681613.6735359025
2278.0,1,1.0,406030.680352563
